1,1,3,125,0
2,2,3,126,0
3,3,3,127,0
4,4,3,128,0
5,5,3,129,0
6,6,3,130,0
7,7,3,131,0
8,8,3,132,0
9,9,3,133,0
10,10,3,134,0
11,11,3,135,0
12,12,3,136,0
13,13,3,137,0
14,14,3,138,0
15,15,3,139,0
16,16,3,140,0
17,17,3,141,0
18,18,3,142,0
19,19,3,143,0
20,20,3,144,0
21,21,3,145,0
22,22,3,146,0
23,23,3,147,0
24,24,3,148,0
25,25,3,149,0
26,26,3,150,0
27,27,3,151,0
28,28,3,152,0
29,29,3,153,0
30,30,3,154,0
31,31,3,155,1
32,32,2,225,0
33,33,2,226,0
34,34,2,227,0
35,35,2,228,0
36,36,2,229,0
37,37,2,230,0
38,38,2,231,0
39,39,2,232,0
40,41,2,233,0
41,42,2,234,0
42,43,2,235,0
43,44,2,236,0
44,45,2,237,0
45,46,2,238,0
46,47,2,239,0
47,48,2,240,0
48,49,2,241,0
49,50,2,242,0
50,51,2,243,0
51,52,2,244,0
52,53,2,245,0
53,54,2,246,0
54,56,2,247,0
55,57,2,248,0
56,58,2,249,0
57,59,2,250,0
58,60,2,251,0
59,61,2,252,0
60,62,2,253,0
61,63,2,254,0
62,64,2,255,0
63,65,2,256,0
64,66,2,257,0
65,67,2,258,0
66,68,2,259,0
67,69,2,260,0
68,70,2,261,0
69,71,2,262,0
70,72,2,263,0
71,73,2,264,0
72,74,2,265,0
73,75,2,266,0
74,76,2,267,0
75,77,2,268,1
76,78,2,269,1
77,79,2,270,1
78,80,2,271,1
79,81,1,25,0
80,82,1,26,0
81,83,1,27,0
82,84,1,28,0
83,85,1,29,0
84,86,1,30,0
85,87,1,31,0
86,88,1,32,0
87,89,1,33,0
88,90,1,34,0
89,91,1,35,0
90,92,1,36,0
91,93,1,37,0
92,94,1,38,0
93,95,1,39,0
94,96,1,40,0
95,97,1,41,0
96,98,1,42,0
97,99,1,43,0
98,100,1,44,0
99,101,1,45,0
100,102,1,46,0
101,103,1,47,0
102,104,1,48,0
103,105,1,49,0
104,106,1,50,0
105,107,1,51,0
106,108,1,52,0
107,109,1,53,0
108,110,1,54,0
109,111,1,55,0
110,112,1,56,0
111,113,1,57,0
112,114,1,58,0
113,115,1,59,0
114,116,1,60,0
115,117,1,61,0
116,118,1,62,0
117,119,1,63,0
118,120,1,64,0
119,121,1,65,0
120,122,1,66,0
121,123,1,67,0
122,124,1,68,0
123,125,1,69,0
124,126,1,70,0
125,127,1,71,0
126,128,1,72,0
127,129,1,73,0
128,130,1,74,0
129,131,1,75,0
130,132,1,76,0
131,133,1,77,0
132,134,1,78,0
133,135,1,79,0
134,136,1,80,0
135,137,1,81,0
136,138,1,82,0
137,139,1,83,0
138,140,1,84,0
139,141,1,85,0
140,142,1,86,0
141,143,1,87,0
142,144,1,88,0
143,145,1,89,0
144,146,1,90,0
145,147,1,91,0
146,148,1,92,0
147,149,1,93,0
148,150,1,94,1
,,,,
,,,,
